koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_steff_err1,koi_model_snr
0,0,0,81,25.8
0,1,0,158,76.3
0,1,0,157,505.6
0,0,0,169,40.9
0,0,0,189,40.2
0,0,0,189,15.0
0,0,0,75,161.9
0,0,0,78,4304.3
0,1,0,76,5945.9
0,0,0,112,1741.5
0,0,0,105,50.6
0,1,0,155,622.1
0,1,0,182,2317.0
0,1,0,168,303.4
0,0,0,131,87.2
0,0,0,123,65.4
0,1,1,149,48.2
0,0,0,85,28.9
0,1,0,79,994.0
0,0,0,79,34.3
0,0,0,175,28.2
0,0,0,152,61.8
0,0,1,155,181.1
1,0,0,100,642.7
0,1,0,184,85.3
0,0,0,75,51.2
0,0,0,75,47.1
0,0,0,152,80.0
0,0,0,152,19.1
0,0,0,77,696.5
0,1,1,182,48.3
0,0,0,189,29.5
0,1,0,168,513.4
0,0,0,104,166.7
0,0,0,180,141.1
0,0,0,152,43.4
0,0,0,173,128.6
0,0,0,74,1406.8
0,1,1,136,236.1
0,0,0,77,71.1
0,0,0,77,37.9
0,0,0,105,88.4
0,0,0,104,47.1
0,1,0,183,835.6
0,0,0,82,28.9
0,0,0,82,21.7
0,0,0,166,345.2
0,0,0,179,36.9
0,0,0,82,38.9
0,0,0,79,82.4
0,0,0,79,13.7
0,0,0,104,8.7
0,0,0,73,71.0
0,0,0,164,312.1
0,0,0,81,37.1
0,0,0,81,30.3
0,0,0,166,35.8
0,0,0,105,83.7
0,1,1,175,39.0
0,0,0,155,103.6
0,0,0,159,20.1
0,0,0,156,277.2
0,1,0,72,112.6
0,0,0,82,38.9
0,0,0,166,50.8
0,1,1,156,299.7
0,0,0,179,183.6
0,0,0,70,35.2
0,0,0,70,26.0
0,0,0,105,17.1
0,0,0,167,370.8
0,0,0,160,32.1
0,0,0,83,799.7
1,0,1,152,14.2
0,0,0,167,53.9
0,1,0,169,636.8
0,0,0,105,14.4
0,0,0,98,347.2
0,0,1,171,38.8
0,0,1,140,48.5
0,0,0,160,1009.3
0,0,0,155,70.6
0,0,0,70,71.6
0,1,1,184,64.9
0,0,0,78,46.1
0,0,0,78,28.5
0,0,0,78,39.7
0,0,0,82,1996.7
0,0,0,169,113.2
0,0,0,73,56.4
0,1,0,166,1300.0
0,1,0,205,296.9
0,0,0,64,107.4
0,0,0,166,37.8
0,0,0,79,166.0
0,0,0,131,39.3
0,0,0,131,21.3
0,0,0,155,70.8
0,0,0,151,568.2
0,0,0,105,117.2
0,1,0,169,1671.1
0,0,0,114,49.1
0,0,0,114,35.1
0,0,0,114,19.9
0,0,0,64,50.4
0,0,0,99,20.9
0,1,1,130,50.5
0,0,0,76,38.4
0,0,0,76,22.8
0,1,0,168,269.7
0,0,0,157,99.5
0,0,0,149,54.4
0,0,0,149,25.7
0,0,0,105,24.8
0,0,0,128,52.7
0,0,0,128,51.7
0,0,0,190,240.6
0,0,0,77,116.1
0,0,0,158,74.6
0,0,0,177,748.1
0,0,0,82,160.9
0,0,0,85,62.0
0,0,0,164,49.2
0,0,0,174,62.6
0,0,0,85,271.8
0,0,0,101,45.5
0,0,0,101,22.6
0,0,0,71,27.4
0,0,0,165,907.8
0,0,0,181,561.1
0,0,0,89,355.7
0,1,0,154,184.1
0,1,1,148,51.7
0,0,0,73,30.7
0,1,0,167,1630.4
0,0,0,164,64.8
0,0,0,74,86.1
0,0,0,74,37.8
0,0,0,74,21.1
0,0,0,81,223.5
0,1,1,193,58.3
0,0,0,108,88.0
0,0,0,108,155.5
0,0,0,108,59.3
0,0,0,108,41.4
0,0,0,102,62.4
0,0,0,101,30.5
0,1,0,140,307.5
0,0,0,113,247.9
0,0,0,82,60.8
0,0,0,82,21.9
0,0,0,85,87.2
0,0,0,85,57.6
0,0,0,85,14.9
0,1,1,125,76.8
0,0,0,146,53.3
0,0,0,71,125.6
0,0,0,76,64.5
0,0,0,76,15.0
0,0,0,102,46.8
0,1,0,171,125.4
0,0,0,130,1011.6
0,0,0,152,175.2
0,0,0,84,142.0
1,0,0,152,52.7
0,0,0,152,41.6
0,0,0,74,48.5
0,0,0,74,31.0
0,0,0,74,18.2
0,1,0,179,147.4
0,0,0,106,388.2
0,0,0,174,435.9
0,0,0,181,71.9
0,0,0,61,915.7
0,0,0,118,182.1
0,0,0,146,431.4
0,0,0,90,42.6
0,0,0,90,25.4
0,1,0,117,60.2
0,1,0,186,85.8
0,0,0,103,123.8
0,0,0,70,1072.1
0,0,0,78,58.0
0,0,0,78,41.4
0,0,0,71,114.9
0,0,0,78,36.9
0,0,0,71,44.4
0,0,0,71,37.8
0,0,0,71,30.9
0,0,0,176,46.2
0,0,0,162,36.4
0,0,0,162,15.4
0,0,0,676,64.5
0,0,0,152,1669.1
0,0,0,153,48.1
0,0,0,90,21.6
0,0,0,90,21.4
0,1,1,158,119.4
